City,Population,County,Website,Open Data,Services,Water,Storm,Sanitary,Notes,countyfips,cityfips
Akron,"197,859",Summit,,,,,,,,,
Alliance,"22,322",Mahoning,,,,,,,,,
Alliance,"22,322",Stark,,,,,,,,,
Amherst,"12,021",Lorain,,,,,,,,,
Ashland,"20,362",Ashland,,,,,,,,,
Ashtabula,"19,124",Ashtabula,,,,,,,,,
Athens,"23,832",Athens,,,,,,,,,
Aurora,"15,548",Portage,,,,,,,,,
Avon,"21,193",Lorain,,,,,,,,,
Avon Lake,"22,581",Lorain,,,,,,,,,
Barberton,"26,550",Summit,,,,,,,,,
Bay Village,"15,651",Cuyahoga,,,,,,,,,
Beachwood,"11,953",Cuyahoga,,,,,,,,,
Beavercreek,"45,193",Greene,,,,,,,,,
Bedford,"13,074",Cuyahoga,,,,,,,,,
Bedford Heights,"10,751",Cuyahoga,,,,,,,,,
Bellbrook,"6,943",Greene,,,,,,,,,
Bellefontaine,"13,370",Logan,,,,,,,,,
Bellevue,"8,202",Erie,,,,,,,,,
Bellevue,"8,202",Huron,,,,,,,,,
Bellevue,"8,202",Sandusky,,,,,,,,,
Belpre,"6,441",Washington,,,,,,,,,
Berea,"19,093",Cuyahoga,,,,,,,,,
Bexley,"13,057",Franklin,,,,,,,,,
Blue Ash,"12,114",Hamilton,,,,,,,,,
Bowling Green,"30,028",Wood,,,,,,,,,
Brecksville,"13,656",Cuyahoga,,,,,,,,,
Broadview Heights,"19,400",Cuyahoga,,,,,,,,,
Brook Park,"19,212",Cuyahoga,,,,,,,,,
Brooklyn,"11,169",Cuyahoga,,,,,,,,,
Brookville,"5,868",Montgomery,,,,,,,,,
Brunswick,"34,255",Medina,,,,,,,,,
Bryan,"8,545",Williams,,,,,,,,,
Bucyrus,"12,362",Crawford,,,,,,,,,
Cambridge,"10,635",Guernsey,,,,,,,,,
Campbell,"8,235",Mahoning,,,,,,,,,
Canal Fulton,"5,479",Stark,,,,,,,,,
Canal Winchester,"7,101",Fairfield,,,,,,,,,
Canal Winchester,"7,101",Franklin,,,,,,,,,
Canfield,"7,515",Mahoning,,,,,,,,,
Canton,"73,007",Stark,,,,,,,,,
Celina,"10,400",Mercer,,,,,,,,,
Centerville,"23,999",Greene,,,,,,,,,
Centerville,"23,999",Montgomery,,,,,,,,,
Chardon,"5,148",Geauga,,,,,,,,,
Cheviot,"8,375",Hamilton,,,,,,,,,
Chillicothe,"21,901",Ross,,,,,,,,,
Cincinnati,"298,165",Hamilton,,,,,,,,,
Circleville,"13,314",Pickaway,,,,,,,,,
Clayton,"13,209",Miami,,,,,,,,,
Clayton,"13,209",Montgomery,,,,,,,,,
Cleveland,"389,521",Cuyahoga,,,,,,,,,
Cleveland Heights,"46,121",Cuyahoga,,,,,,,,,
Clyde,"6,325",Sandusky,,,,,,,,,
Columbiana,"6,384",Columbiana,,,,,,,,,
Columbiana,"6,384",Mahoning,,,,,,,,,
Columbus,"860,090",Franklin,https://www.columbus.gov/Templates/Detail.aspx?id=68664,http://data-columbus.opendata.arcgis.com/search,,,,,,,
Conneaut,"12,841",Ashtabula,,,,,,,,,
Cortland,"7,104",Trumbull,,,,,,,,,
Coshocton,"11,216",Coshocton,,,,,,,,,
Cuyahoga Falls,"49,652",Summit,,,,,,,,,
Dayton,"141,003",Montgomery,,,,,,,,,
Deer Park,"5,736",Hamilton,,,,,,,,,
Defiance,"16,494",Defiance,,,,,,,,,
Delaware,"37,753",Delaware,,,,,,,,,
Delphos,"7,101",Allen,,,,,,,,,
Delphos,"7,101",Van Wert,,,,,,,,,
Dover,"12,826",Tuscarawas,,,,,,,,,
Dublin,"41,751",Delaware,,http://data-dublinohio.opendata.arcgis.com/,,TRUE,TRUE,TRUE,,,
East Cleveland,"17,843",Cuyahoga,,,,,,,,,
East Liverpool,"11,195",Columbiana,,,,,,,,,
Eastlake,"18,577",Lake,,,,,,,,,
Eaton,"8,407",Preble,,,,,,,,,
Elyria,"54,533",Lorain,,,,,,,,,
Englewood,"13,465",Montgomery,,,,,,,,,
Euclid,"48,920",Cuyahoga,,,,,,,,,
Fairborn,"32,352",Greene,,,,,,,,,
Fairfield,"42,510",Butler,,,,,,,,,
Fairlawn,"7,437",Summit,,,,,,,,,
Fairview Park,"16,826",Cuyahoga,,,,,,,,,
Findlay,"41,202",Hancock,,,,,,,,,
Forest Park,"18,720",Hamilton,,,,,,,,,
Fostoria,"13,441",Hancock,,,,,,,,,
Fostoria,"13,441",Seneca,,,,,,,,,
Fostoria,"13,441",Wood,,,,,,,,,
Franklin,"11,771",Warren,,,,,,,,,
Fremont,"16,734",Sandusky,,,,,,,,,
Fulton County,,Fulton,http://gis.fultoncountyoh.com/basemap/,,,TRUE,,TRUE,,,
Gahanna,"33,248",Franklin,,,,,,,,,
Galion,"10,512",Crawford,,,,,,,,,
Garfield Heights,"28,849",Cuyahoga,,,,,,,,,
Geneva,"6,215",Ashtabula,,,,,,,,,
Germantown,"6,215",Montgomery,,,,,,,,,
Girard,"9,958",Trumbull,,,,,,,,,
Grandview Heights,"6,536",Franklin,,,,,,,,,
Green,"25,699",Summit,,,,,,,,,
Greenville,"13,227",Darke,,,,,,,,,
Grove City,"35,575",Franklin,https://gis.grovecityohio.gov/app/webgis.aspx,,,,,,,,
Groveport,"5,363",Franklin,http://gis.groveport.org/app.html,,https://gis.groveport.org/arcgis/rest/services,TRUE,TRUE,TRUE,,,
Hamilton,"62,477",Butler,,,,,,,,,
Harrison,"9,897",Hamilton,,,,,,,,,
