name,popsqmi,key,population,namelsad,y,x,placens
Aberdeen,,3900142,,Aberdeen village,38.6717091,-83.7708664,02397905
Ada,,3900198,,Ada village,40.7681192,-83.8253218,02397907
Adamsville,,3900380,,Adamsville village,40.0688929,-81.8826365,02397909
Athens ,,3902736,,Athens city,39.3260005,-82.0980078,02394009
Avon Lake ,,3903464,,Avon Lake city,41.4945045,-82.0160754,01086501
Brooklyn Heights,,3909274,,Brooklyn Heights village,41.4198822,-81.6652862,01085959
Chatfield,,3913694,,Chatfield village,40.9512054,-82.9419596,02397605
Addyston,,3900436,,Addyston village,39.1381226,-84.7128341,02397913
Adelphi,,3900450,,Adelphi village,39.4644974,-82.7461068,02397915
Adena,,3900464,,Adena village,40.2166634,-80.87621,02397916
Akron ,,3901000,,Akron city,41.0804559,-81.5214295,01086993
Albany,,3901042,,Albany village,39.2265315,-82.1947268,02397922
Amesville,,3901784,,Amesville village,39.4014869,-81.9549569,02397956
Buchtel,,3909834,,Buchtel village,39.4635115,-82.1804258,02397481
Alexandria,,3901154,,Alexandria village,40.0903161,-82.612451,02397927
Alger,,3901210,,Alger village,40.7097963,-83.8440345,02397930
Alliance ,,3901420,,Alliance city,40.9111711,-81.119827,01086972
Amanda,,3901630,,Amanda village,39.6501628,-82.7421528,02397953
Baltimore,,3903758,,Baltimore village,39.8460388,-82.6046872,02398025
Amberley,,3901672,,Amberley village,39.2034895,-84.4282883,01086196
Blue Ash ,,3907300,,Blue Ash city,39.2447574,-84.3884374,01086199
Amelia,,3901742,,Amelia village,39.0228885,-84.218322,02397955
Amherst ,,3901798,,Amherst city,41.4053292,-82.2317251,01086498
Amsterdam,,3901938,,Amsterdam village,40.4717332,-80.9216884,02397958
Andover,,3902050,,Andover village,41.6065504,-80.568686,02397961
Anna,,3902092,,Anna village,40.3957944,-84.1759011,02397963
Ansonia,,3902120,,Ansonia village,40.2141468,-84.6342252,02397968
Arcanum,,3902330,,Arcanum village,39.992308,-84.5543226,02397978
Antioch,,3902148,,Antioch village,39.6610655,-81.0669949,02397969
Antwerp,,3902204,,Antwerp village,41.1801758,-84.7360993,02397971
Cecil,,3912700,,Cecil village,41.2190959,-84.6015805,02397578
Apple Creek,,3902232,,Apple Creek village,40.7488697,-81.8317356,02397972
Burbank,,3910254,,Burbank village,40.9862322,-81.9948403,02397495
Aquilla,,3902274,,Aquilla village,41.5465228,-81.1730641,02397975
Chardon ,,3913554,,Chardon city,41.5792893,-81.2090597,02397604
Arcadia,,3902316,,Arcadia village,41.1079093,-83.5146175,02397976
Arlington,,3902400,,Arlington village,40.8938833,-83.652954,02397983
Archbold,,3902344,,Archbold village,41.5165329,-84.3032694,02397979
Arlington Heights,,3902428,,Arlington Heights village,39.2153449,-84.4555423,01086198
Ashland ,,3902568,,Ashland city,40.8670678,-82.3151519,01085702
Ashley,,3902582,,Ashley village,40.4098055,-82.9516531,01086041
Ashtabula ,,3902638,,Ashtabula city,41.8794702,-80.7984935,02394002
Ashville,,3902680,,Ashville village,39.7250915,-82.957724,02398001
Athalia,,3902722,,Athalia village,38.5091187,-82.3094594,02398003
Attica,,3902820,,Attica village,41.0636846,-82.8871076,02398006
Aurora ,,3903086,,Aurora city,41.3067955,-81.3364645,01086822
Avon ,,3903352,,Avon city,41.4451003,-82.0051085,01086500
Bailey Lakes,,3903562,,Bailey Lakes village,40.9495707,-82.3592648,02398016
Bainbridge,,3903604,,Bainbridge village,39.2264637,-83.2695617,02398017
Bairdstown,,3903646,,Bairdstown village,41.1711843,-83.6072888,02398018
Bloomdale,,3907062,,Bloomdale village,41.1710864,-83.5536413,02398135
Bradner,,3908112,,Bradner village,41.3238842,-83.4363659,02398165
Baltic,,3903744,,Baltic village,40.4436769,-81.7016263,02398024
Barberton ,,3903828,,Barberton city,41.0069033,-81.60439,01086994
Barnesville,,3903926,,Barnesville village,39.9888472,-81.1726329,02398034
Barnhill,,3903940,,Barnhill village,40.4496626,-81.3679076,02398035
Batavia,,3904150,,Batavia village,39.0809317,-84.1732726,02398047
Batesville,,3904192,,Batesville village,39.9147261,-81.2834658,02398049
Bay View,,3904402,,Bay View village,41.4693316,-82.8241711,02398051
Bay Village ,,3904416,,Bay Village city,41.4877725,-81.9290505,01085949
Brecksville ,,3908364,,Brecksville city,41.3071872,-81.6199079,01085956
Beach City,,3904458,,Beach City village,40.6531234,-81.5795527,02398055
Blanchester,,3906908,,Blanchester village,39.2950804,-83.9728642,02398131
Beachwood ,,3904500,,Beachwood city,41.4762643,-81.5032318,01085950
Beallsville,,3904542,,Beallsville village,39.8488691,-81.0353907,02398057
Beaver,,3904696,,Beaver village,39.0349893,-82.8257106,02398059
Beavercreek ,,3904720,,Beavercreek city,39.7331545,-84.0596148,02394102
Beaverdam,,3904752,,Beaverdam village,40.8324875,-83.9733829,02398061
Bluffton,,3907426,,Bluffton village,40.8920482,-83.8877931,02398144
Bedford ,,3904878,,Bedford city,41.3921231,-81.5346796,01085951
Bedford Heights ,,3904920,,Bedford Heights city,41.4035455,-81.5023473,01085952
Bentleyville,,3905550,,Bentleyville village,41.4133266,-81.413446,01085953
Bellaire,,3905074,,Bellaire village,40.0165108,-80.7473336,02398073
Bellbrook ,,3905102,,Bellbrook city,39.6384005,-84.0854109,02394111
Belle Center,,3905116,,Belle Center village,40.5090106,-83.7452928,02398075
Bellefontaine ,,3905130,,Bellefontaine city,40.3627172,-83.7629944,02394116
Belle Valley,,3905158,,Belle Valley village,39.7888189,-81.5565315,02398077
Bellevue ,,3905228,,Bellevue city,41.2741163,-82.8398553,01086341
Bellville,,3905284,,Bellville village,40.6177295,-82.5131467,02398083
Belmont,,3905312,,Belmont village,40.0279794,-81.040933,02398086
Belmore,,3905396,,Belmore village,41.1548382,-83.9416973,02398087
Beloit,,3905410,,Beloit village,40.9196959,-80.9978118,02398089
Belpre ,,3905424,,Belpre city,39.280492,-81.592338,01087127
Benton Ridge,,3905662,,Benton Ridge village,41.0042359,-83.7926644,02398098
Berea ,,3905690,,Berea city,41.3705475,-81.8617565,01085954
Broadview Heights ,,3909064,,Broadview Heights city,41.318156,-81.6792616,01085957
Bergholz,,3905718,,Bergholz village,40.5207959,-80.885057,02398100
Berkey,,3905732,,Berkey village,41.708347,-83.8383653,02398102
Berlin Heights,,3905900,,Berlin Heights village,41.3227478,-82.4875708,02398104
Bethel,,3906068,,Bethel village,38.9628595,-84.0845616,02398110
Bethesda,,3906138,,Bethesda village,40.0165773,-81.0726052,02398112
Bettsville,,3906194,,Bettsville village,41.2440548,-83.2338725,02398113
Bloomville,,3907286,,Bloomville village,41.0513731,-83.0136684,02398141
Beverly,,3906222,,Beverly village,39.5499694,-81.635844,02398115
Bexley ,,3906278,,Bexley city,39.9653584,-82.9344792,01086097
Blakeslee,,3906810,,Blakeslee village,41.5242126,-84.7308458,02398130
Bloomingburg,,3907188,,Bloomingburg village,39.6079293,-83.3952863,02398136
Bloomingdale,,3907202,,Bloomingdale village,40.3422279,-80.8178504,02398137
Bolivar,,3907594,,Bolivar village,40.6505346,-81.4556813,02398148
Boston Heights,,3907790,,Boston Heights village,41.2525827,-81.5076679,01086997
Botkins,,3907832,,Botkins village,40.4523435,-84.1791822,02398153
Bowerston,,3907916,,Bowerston village,40.4272619,-81.187387,02398156
Bowersville,,3907930,,Bowersville village,39.5807868,-83.7233257,02398157
Bowling Green ,,3907972,,Bowling Green city,41.3776768,-83.6495839,01087179
Bradford,,3908084,,Bradford village,40.1300549,-84.4268915,02398161
Bratenahl,,3908336,,Bratenahl village,41.5559648,-81.6055748,01085955
Bremen,,3908392,,Bremen village,39.7059708,-82.4299345,02397448
Brewster,,3908504,,Brewster village,40.7115172,-81.6077771,02397449
Brice,,3908532,,Brice village,39.9172485,-82.8318855,02397451
Bridgeport,,3908560,,Bridgeport village,40.0645618,-80.7489432,02397452
Brooklyn ,,3909246,,Brooklyn city,41.4347398,-81.7491795,01085958
Brook Park ,,3909288,,Brook Park city,41.4043089,-81.8203424,01085960
Brookside,,3909316,,Brookside village,40.0709453,-80.760847,02397468
Brookville ,,3909358,,Brookville city,39.8392851,-84.4175621,02393433
Broughton,,3909386,,Broughton village,41.0880098,-84.5349836,02397469
Brunswick ,,3909680,,Brunswick city,41.2457993,-81.8165815,01086589
Bryan ,,3909792,,Bryan city,41.4702892,-84.5480837,01087167
Buckeye Lake,,3909890,,Buckeye Lake village,39.9364275,-82.4814054,02397482
Buckland,,3909974,,Buckland village,40.6234333,-84.259995,02397484
Bucyrus ,,3910030,,Bucyrus city,40.8051193,-82.9716319,02393452
Burgoon,,3910282,,Burgoon village,41.2674137,-83.2507433,02397498
Burkettsville,,3910296,,Burkettsville village,40.3529369,-84.6426731,02397499
Burton,,3910436,,Burton village,41.4706232,-81.1450944,02397507
Butler,,3910632,,Butler village,40.5901654,-82.4201783,02397511
Butlerville,,3910674,,Butlerville village,39.3016181,-84.0903745,02397513
Byesville,,3910716,,Byesville village,39.9733228,-81.5458123,02397516
Cadiz,,3910800,,Cadiz village,40.2565895,-80.9926476,02397520
Cairo,,3910884,,Cairo village,40.8307525,-84.0844887,02397522
Caldwell,,3910940,,Caldwell village,39.7463539,-81.5129761,02397525
Caledonia,,3910954,,Caledonia village,40.6363108,-82.9693914,02397526
Cambridge ,,3910996,,Cambridge city,40.021047,-81.5855483,02393504
Camden,,3911024,,Camden village,39.6366793,-84.6446635,02397539
Campbell ,,3911066,,Campbell city,41.0780131,-80.5899684,01086559
Canal Fulton ,,3911304,,Canal Fulton city,40.8923024,-81.5879299,02393726
Canal Winchester ,,3911332,,Canal Winchester city,39.8397944,-82.8162599,02397546
Canfield ,,3911360,,Canfield city,41.0298795,-80.7673224,02393729
Canton ,,3912000,,Canton city,40.8076499,-81.3672284,01086974
Cardington,,3912084,,Cardington village,40.4979842,-82.8936498,02397552
Carey,,3912112,,Carey village,40.9458138,-83.3860955,02397553
Carlisle,,3912168,,Carlisle village,39.5789921,-84.3209592,02393744
Carroll,,3912252,,Carroll village,39.8025848,-82.7061784,02397562
Carrollton,,3912280,,Carrollton village,40.5787469,-81.0908197,02397564
Casstown,,3912462,,Casstown village,40.0527674,-84.1285133,02397572
Castalia,,3912476,,Castalia village,41.4042673,-82.801607,02397573
Castine,,3912504,,Castine village,39.9310425,-84.6247177,02397574
